"gene","meanreadprop","Treat_P","DPI_P","Treat_DPI_P","Treat_C","DPI_C","Treat_DPI_C"
"ENSGACT00000014655","7.9889437432666e-05","0.000168546508403345","0.00445082862574092","0.11151463417544","0.0732285355660055","0.00167595426858617","-0.00121098004696766"
"ENSGACT00000005606","5.34496679064516e-05","0.000211089133559081","0.115589572176787","0.516129567057453","0.122192445602588","0.00174366840336732","-0.0010159223006368"
"ENSGACT00000022982","2.66899896147279e-05","0.000550315431082869","0.373699559970961","0.69458112094082","-0.431397642789994","0.00177027452876428","0.00245438644525401"
"ENSGACT00000000969","3.69728110021193e-05","0.00107779595382058","0.00706895246935017","0.833048065100049","0.248357264020317","0.00575411068845395","-0.000828224581519754"
"ENSGACT00000017412","2.89333186386191e-05","0.00114877364236243","0.213591040332826","0.857766380823464","0.256909154353867","-0.00340511444818741","0.000854852455882255"
"ENSGACT00000018851","5.28955417839701e-05","0.00149295733195131","0.372805951474758","0.884759765648956","-0.31297307835209","-0.00267548210582555","0.000784208121959357"
"ENSGACT00000002572","3.60072237495754e-05","0.00159811787409342","0.336435079887097","0.951399040547091","-0.181006481362989","0.00164914397357325","-0.000199635435836644"
"ENSGACT00000019166","5.93226848372019e-05","0.00176383510802388","0.195833235414414","0.574179420994849","-0.150087037464387","0.000888483630914094","0.00127013259082066"
"ENSGACT00000004636","4.86066123291494e-05","0.00215415346382406","0.108363740509492","0.976840997376203","0.117975397617427","0.00174538747952082","-6.18362173050024e-05"
"ENSGACT00000015159","3.12735004806625e-05","0.0024040394531178","0.199609257228145","0.502933055538169","-0.188962404841964","-0.00160729546601417","-0.00306860689625096"
"ENSGACT00000026367","2.97193828478923e-05","0.00246221527183587","0.979351034104712","0.00904566822598047","0.526255742990443","0.00728719628653887","-0.0135681997636003"
"ENSGACT00000020359","2.69884212188587e-05","0.00254272865766445","0.418659611820262","0.813222007919508","0.340537330076784","-0.00160811866200444","-0.00141080743181959"
"ENSGACT00000023997","3.71123894941267e-05","0.00268612349017427","0.00469418821327173","0.337849914024898","0.214530878202375","0.00565356014175109","-0.00283092243535334"
"ENSGACT00000010523","2.93147247794966e-05","0.00293317490493454","0.0715416148304652","2.59917837185755e-05","-0.611377492203134","-0.00415986448555919","0.0188201493471144"
"ENSGACT00000005557","4.32397147767582e-05","0.00309771407467044","0.369064377991984","0.808581213160783","-0.318051803065664","0.00190633278020258","0.0013416762485106"
"ENSGACT00000015382","6.48416771847868e-05","0.0032853067387736","0.989484123906212","0.299693190770405","0.0989600146250547","0.000723727788615591","-0.00144572748049392"
"ENSGACT00000010100","2.87722227353775e-05","0.00340190744210972","0.70083232065843","0.0089993897261523","-0.500019068722745","-0.00458936879904571","0.0129500504485791"
"ENSGACT00000022086","3.68906406549013e-05","0.00343547986156866","0.708914242181812","0.00293336664180904","0.390980901239122","0.0049871315719603","-0.0110797906286432"
"ENSGACT00000014310","4.12551829945017e-05","0.00367607882966171","0.129058646981325","0.656305553440504","0.168446299204778","0.00276167912379806","-0.00124254172656534"
"ENSGACT00000017856","3.355058357482e-05","0.00394202257327151","0.194301972604868","0.03999983174606","-0.0633531415263276","0.00724159050393701","-0.0101063734196433"
"ENSGACT00000023624","2.68705284757231e-05","0.0040272089334789","0.0690154245418513","0.421750982401739","-0.370046731866306","0.00310663092577603","0.00438226953181472"
"ENSGACT00000023761","4.60081400838275e-05","0.00414738091426738","0.391198011198621","0.00528695642396962","0.22291978750783","0.00213903364302305","-0.00620126538457472"
"ENSGACT00000020802","6.3499694167713e-05","0.00421964371756945","0.00214236636566465","0.0834386507441641","0.0956231613492735","0.00274338936466935","-0.00198943944337184"
"ENSGACT00000009032","3.68008949481506e-05","0.00434473372222004","0.073946361181221","0.0299349518191415","-0.0484365868286015","0.000139806923723347","-0.00826797688943931"
"ENSGACT00000010732","3.5103095625207e-05","0.00437217525098131","0.298504132813004","0.000545439310383459","-0.49445662563293","-0.0042236105943723","0.0146259303327463"
"ENSGACT00000021394","3.89854397011123e-05","0.00445660353858972","0.517593473160053","0.920895254013932","0.173462021006985","-0.000902664584765713","-0.000330560658183187"
"ENSGACT00000008025","2.7595697139476e-05","0.00462212938162815","0.556531919215371","0.533082552468303","-0.323427401017964","-0.00292396299027362","0.00332118876201499"
"ENSGACT00000000305","3.75032209354179e-05","0.00476831237533378","0.338469555425191","0.0424016126452656","-0.387618572424079","-0.0017481209239942","0.00884696061616662"
"ENSGACT00000016728","6.09036316258747e-05","0.00492970148152611","0.367436923175477","0.0674381542675015","0.128425300586947","0.00208392744599654","-0.00281430741062233"
"ENSGACT00000016515","6.39218724780405e-05","0.0050309136188712","0.369908008440005","0.306815056999989","-0.144102895863964","-6.90005353592098e-05","-0.00471301365360275"
"ENSGACT00000013937","3.46153497876861e-05","0.00504604605714049","0.0498573553564867","0.167540584410639","-0.288752445154381","0.00140413182559211","0.00515523240065612"
"ENSGACT00000019024","9.40766807066498e-05","0.00505631987089437","0.0121833634244411","0.0611884352270295","0.118034717910194","-0.000470504805591972","-0.00268387637088992"
"ENSGACT00000011307","5.2949749266771e-05","0.00521408101975545","0.174970212044255","0.665812325003441","0.181330258391974","-0.00144685061594508","-0.00137977079164012"
"ENSGACT00000019167","5.86721304850471e-05","0.0052944295567038","0.601611538877051","0.677496949111116","-0.085635716741858","-0.000146616984403218","-0.00084972413737367"
"ENSGACT00000021282","4.82901166844754e-05","0.00569364532417016","0.0677770653848726","0.546470694697674","-0.136210891334949","0.00142811160435123","0.00134717957198482"
"ENSGACT00000010741","7.76206643956127e-05","0.00625552698239488","0.0135795755360623","0.00745120151529727","0.118980259220342","9.60242419235313e-05","-0.0033372459458566"
"ENSGACT00000000580","3.24671039913068e-05","0.00625923012312541","0.955335341097255","0.943109416128325","0.165815661175808","-3.21072339758523e-05","0.000250034017698215"
"ENSGACT00000011111","6.01322742919139e-05","0.00670334836649862","0.419836684662172","0.0962458874861431","-0.165197487640208","-0.000746275331721578","0.0034803371267998"
"ENSGACT00000001216","4.26148624136789e-05","0.0069805088162339","0.405617806336512","0.822298402203394","-0.119860215091745","0.00139791369151049","-0.000611119341048361"
"ENSGACT00000008175","7.61520231175033e-05","0.00715438719764454","0.971502983922356","0.14031795922484","-0.102471750850467","-0.000966001938373689","0.00203053190667616"
"ENSGACT00000008338","2.99590830956955e-05","0.00721042903592153","0.106681154637463","0.132796876586248","0.118693228776426","-0.000243310441555164","0.00939075374304334"
