"gene","meanreadprop","Pop_P","Fib_P","Pop:Fib_P","Pop_GvS_C","Pop_RvS_C","Fib_C","GvS:Fib_C","RvS:Fib_C"
"ENSGACT00000002760","9.83120977116676e-05","4.69718095915032e-35","0.000101392088062851","0.226889770170849","-0.0553715236783537","0.0688360109421306","0.01351358062995","0.00369825850861957","-0.00865305826170198"
"ENSGACT00000025415","0.00018575835225748","1.15505678245886e-52","0.000101969827169932","0.0409097223901619","-0.0357089700674835","0.0694464667462052","0.00818995833934493","0.00667213964343363","-0.00628394187908632"
"ENSGACT00000014460","9.34254101280934e-05","1.05536260729552e-48","0.000102576142905563","0.00327748579108365","-0.1713547527552","-0.0165932764269034","0.027655907520399","-0.0085821173736954","-0.0304863555674604"
"ENSGACT00000022084","0.000101649246388069","0.333956566747464","0.000103329454066883","0.97784230891493","0.0163071458576131","0.000152160168526429","0.0117880911585818","-0.000593516710250901","0.00102349650797853"
"ENSGACT00000004089","9.49707548673603e-05","2.24841465499306e-05","0.000103446005522483","0.233262979357447","-0.0353640168076865","0.0164297430792627","0.0166448498998694","0.000974490205021496","-0.0116549867492838"
"ENSGACT00000019379","0.000178990710029125","5.13764922913159e-69","0.000103647293372116","0.0524385837221008","-0.0376981551477745","0.0827605214049163","0.00834385138590713","0.00651651036488515","-0.00613738242700776"
"ENSGACT00000010450","9.64902087432565e-05","8.95356976845732e-06","0.000104675596069237","0.250929351452344","-0.0452564708666288","0.0359988728462998","0.0196008338553514","0.00936522546726896","-0.0107650391361373"
"ENSGACT00000023645","4.63466797573436e-05","2.87603479376363e-16","0.00010467928203562","0.637608448707032","0.105821988655577","0.309843871197561","-0.0564990723836145","0.0011726098318434","0.0239016812666951"
"ENSGACT00000020041","0.000101828287935204","0.0173626974287228","0.000105176404504979","0.183946137492997","0.0103277586012121","0.039627749965388","0.0127755756047941","0.0248566948889901","0.00573597407232301"
"ENSGACT00000015313","0.000113794564972648","1.40484260929138e-06","0.000105568302994449","0.970970849282135","0.0233545346228928","-0.0714896858476467","0.0214904146700973","-0.00127386231641242","-0.00302085782903303"
