"gene","meanreadprop","Treat_P","DPI_P","Treat_DPI_P","Treat_C","DPI_C","Treat_DPI_C"
"ENSGACT00000011074","2.31960306667722e-05","0.000100983036213131","0.0658705841641445","0.343387212999571","0.268026785297274","0.00178276992783638","0.00502630023374509"
"ENSGACT00000019859","6.39378415045034e-05","0.000127483631429395","1.68843705841959e-06","0.105217507139503","-0.291647094528373","0.00485360560166462","0.0047391926257697"
"ENSGACT00000004143","6.89432015290374e-05","0.000150606398678082","0.728131697347741","0.129988455539098","0.157817004506042","0.00107789761132861","-0.00258608731422301"
"ENSGACT00000009231","0.000109311286471166","0.000173519224250791","3.17693436521233e-07","0.285204149939839","-0.179883067660647","0.00430148238833859","0.00222725624842778"
"ENSGACT00000019308","5.93320865086233e-05","0.000200267128911354","0.13765575958452","0.944248462703302","-0.132358928410936","-0.00155841552805456","0.000141076600424644"
"ENSGACT00000016213","0.00014243110584524","0.000201056313493067","5.24595184724658e-05","0.14514786284215","0.093139190044009","-0.00132854486958123","-0.00154444646412555"
"ENSGACT00000015046","2.50945256482811e-05","0.000205089658424026","4.27414439001547e-05","0.785743401351913","-0.369166762683994","0.00996064073999262","0.00140512087501067"
"ENSGACT00000019064","3.7554224452848e-05","0.000227609380323696","0.0654301479576037","0.193049190085413","-0.158047736609275","0.00588378978460778","-0.00514619472359559"
"ENSGACT00000000434","0.000150330937208216","0.000261988791002121","9.62718369721069e-07","0.282876742288781","-0.073441437557881","0.00171087905814432","0.000953244180961009"
"ENSGACT00000011284","4.18217834855538e-05","0.00027543570008622","0.12047110623552","0.531477854837725","-0.313888014104305","0.00207325322124887","0.00260658078466069"
"ENSGACT00000011335","6.15180867181595e-05","0.000354270777943616","0.0843004433387603","0.318319708168282","-0.0959580010065237","0.00291223056607625","-0.00217973400851854"
"ENSGACT00000017500","2.89601276934817e-05","0.000385064099744307","0.933878625523765","0.539391352693158","-0.304716458024565","0.00127989968119824","-0.00372195621819031"
"ENSGACT00000000550","3.10500030848401e-05","0.000450504881883133","0.0219185067949627","0.897071409593427","0.361959670880733","0.00635565491779574","0.000779969163528417"
"ENSGACT00000023253","7.15205039509171e-05","0.000466223784536931","0.0245560275468308","0.652166221457328","-0.0950707350639339","0.00242605568805354","-0.000814751661451333"
"ENSGACT00000000433","0.000153126255628901","0.000479359120908434","3.67758457391152e-06","0.152556757565909","-0.084837246989365","0.0015825934036521","0.00140068415312919"
"ENSGACT00000025278","0.000146441886180979","0.000491667691630794","0.040512519031416","0.968020606953347","-0.0752602378302478","0.00123783531689151","4.93068620743315e-05"
"ENSGACT00000002494","2.92004697644891e-05","0.000500623488730852","0.228133198984325","0.972371014281612","0.272842471735364","-0.00262355870846376","-0.000158532631722797"
"ENSGACT00000020951","2.49485621768992e-05","0.000526953101021699","0.721450430337074","0.187563916040154","-0.202900858679945","0.00403689956164946","-0.00736525809098739"
"ENSGACT00000011646","3.02991013269747e-05","0.000544384628535361","0.00426608193856623","0.0173656929664538","0.104608456129771","-0.0151860107175463","0.0128874559733112"
"ENSGACT00000005255","6.2941878808702e-05","0.000578669854450925","0.355234114974145","0.912975646936752","-0.110965554834224","0.000987080560305072","-0.000209601217462392"
"ENSGACT00000000998","3.13518838131746e-05","0.000583343922977034","0.326785095819453","0.0429074596394007","0.429090027942352","0.00712188735699752","-0.00886231518601847"
"ENSGACT00000012117","2.53466165191607e-05","0.000586870426645088","0.0235216530328345","0.556767789889516","0.378965108898814","-0.00436019543536019","-0.00336678978925089"
"ENSGACT00000024517","4.77305392233686e-05","0.000762043084623767","0.0103507527973974","0.636000204785089","0.170999394941552","-0.00538175527643921","0.00166929635642996"
"ENSGACT00000026101","3.2513558343484e-05","0.000916532639175443","0.1721731732121","0.867224233899897","-0.247897906498833","0.00246620417521422","0.000679392400663843"
"ENSGACT00000025006","5.23234922876205e-05","0.00101081596729973","0.175451851417654","0.566894702663419","-0.198444206313308","0.00120220957067946","0.00167570556765213"
"ENSGACT00000020170","8.94222956187523e-05","0.00101350277306469","0.53748562684234","0.96384276714204","0.0560014877501507","0.000319633694985697","-4.36700217939441e-05"
"ENSGACT00000012300","2.70954007217534e-05","0.00104641413564141","0.461650103661209","0.678071863388139","-0.275181592835574","0.00301709524861506","-0.00231297257791729"
"ENSGACT00000026629","8.45631658782195e-05","0.00104804895045142","0.0154876474255676","0.605367621048136","-0.106367564231068","0.00154288487611619","0.000827814119384835"
"ENSGACT00000010051","0.000103337031330353","0.00110770470356475","0.00217211109320457","0.33376678963879","0.04141276394137","-0.000589288032261212","-0.000551277425133999"
"ENSGACT00000004054","2.8100201025409e-05","0.00112934886576167","0.934233149202625","0.516124873740793","-0.383244927398533","-0.00181721486311165","0.0036697790443488"
"ENSGACT00000019790","3.81937343201935e-05","0.00113840081233728","0.282959126862331","0.392085042004018","-0.233354351220809","0.000450483684760264","0.00276015311300287"
"ENSGACT00000011182","8.26493053316759e-05","0.0011464681247721","0.164954794947283","0.897126694800874","0.0700842313168699","-0.00075263353676705","-0.00015572529322838"
"ENSGACT00000025095","4.78004810082016e-05","0.00124813542664073","0.0900537396138164","0.224946362173098","-0.0924073733762607","0.00384906664803324","-0.00330779001493335"
"ENSGACT00000004207","3.82844668614462e-05","0.00128105178495798","0.00046384072842591","0.849386460992674","0.16926641886733","-0.00616278934589915","0.000641448747802328"
"ENSGACT00000014574","7.3153588610102e-05","0.00128590219674649","0.0062760432777344","0.253776326504731","-0.134500310368586","0.0014283859780738","0.00199289444702756"
"ENSGACT00000007868","8.32536277214026e-05","0.00130621875350303","0.440077426150104","0.803530914702391","0.0702649658698219","0.000598322062896455","-0.000288507610573491"
"ENSGACT00000010252","5.4360317741675e-05","0.0013104575008809","0.165340494575046","0.488542479673157","0.104059924750563","-0.000505431603758769","-0.0010715745692969"
"ENSGACT00000014324","0.000174341393628379","0.00144655948643648","7.95793139227108e-08","0.454823909943046","-0.0488354655600314","0.00165817849732068","0.000534129147038781"
"ENSGACT00000023270","9.89841764084325e-05","0.00159326820005089","0.135381333756164","0.297736170156779","-0.0557230809211375","-0.000365212547656424","-0.0015785738884752"
"ENSGACT00000021303","2.72957852790393e-05","0.00169780020625194","0.0280493173054579","0.254952474789884","-0.423938097760493","0.00327672621941672","0.00621368961275946"
"ENSGACT00000027646","7.65913885538579e-05","0.00170913998353365","5.83152128604154e-08","0.491622810661036","0.0763750048727282","-0.00279255378274531","-0.000822665006464343"
"ENSGACT00000008245","4.38742339561889e-05","0.00172927920841964","0.161512851704963","0.54134619642453","-0.187575838813626","0.00420024244262735","-0.00264378284902274"
"ENSGACT00000009940","5.93045887778716e-05","0.00173097698042882","0.235466234901369","0.523903705465971","0.0801481059864659","-0.00174639802886483","0.00119599262359192"
"ENSGACT00000012898","9.54675148536287e-05","0.00173780688485213","0.000565798736154283","0.317461981502379","0.108779056681248","0.0032967938717511","-0.00146253692458567"
"ENSGACT00000010225","8.66800455500763e-05","0.00174736899869425","0.0355397384193816","0.209193345975217","0.0616539662704519","-0.000326674349671079","-0.00102386445512085"
"ENSGACT00000008189","7.45393754945633e-05","0.00177228034752858","0.00488274434935567","0.85541600099378","0.111228813065956","-0.00258664389216592","-0.000362539706122106"
"ENSGACT00000005178","7.18911653949385e-05","0.00180315738266244","0.000557174591200767","0.352650456571623","-0.0627843939044651","0.00371228319746307","-0.00158270586858934"
"ENSGACT00000026302","9.43485354054134e-05","0.00184958611582924","0.00232311035162348","0.982496428717589","0.0313402204931614","0.000867968538254043","1.25861523454309e-05"
"ENSGACT00000026735","2.25334077022269e-05","0.00186532999690014","0.24872009634434","0.00220028676136908","0.591912592091005","0.0063881303264437","-0.0172445795086809"
"ENSGACT00000003744","2.51598286551888e-05","0.00196546806605078","0.154034861504017","0.34668860020542","-0.227652495429213","0.006902808115009","-0.00591420356266531"
"ENSGACT00000009743","0.000118100479364029","0.00197689258750285","0.596099274846157","0.488369643320647","0.0669200352686779","9.68138280639215e-05","-0.000704825188560402"
"ENSGACT00000024525","0.000107175958220302","0.00200462056758755","0.000187473753034388","0.577902180670338","0.0516781331799347","-0.00131165378363318","-0.000463784346206831"
"ENSGACT00000013333","2.27731050246411e-05","0.00204701747748284","0.775546645708264","0.574149729131926","-0.391982836313063","-0.000614042813485779","0.00346089051153398"
"ENSGACT00000020671","2.95762351091816e-05","0.00211172229381428","0.474827489814079","0.291546368749373","-0.356238153432853","-0.000564278069359468","0.00515280920868294"
"ENSGACT00000010372","2.84173574713013e-05","0.00226212347377242","0.388442152704965","0.454120338088618","-0.204446496850445","-0.000518936942021319","-0.00386486922853974"
"ENSGACT00000005456","4.97748593159935e-05","0.00233202741781147","0.0948540341601828","0.40271428030408","0.144966025469286","0.00269245531514705","-0.00175805610017166"
"ENSGACT00000025447","0.000112684585734449","0.00242506842093933","0.0345105676804336","0.981226922605762","0.038914703477204","-0.000774376766930085","-1.74725465116267e-05"
"ENSGACT00000004922","5.92645680841487e-05","0.00242868795270198","0.332068911439649","0.291036048984893","-0.0801323125760763","0.00234269512877616","-0.00251450927209573"
"ENSGACT00000021391","8.80249965025517e-05","0.00242905120005141","0.00937231244565656","0.810435316337508","0.0623556894407476","-0.00130632914161289","-0.000267881421103523"
"ENSGACT00000017229","9.65470278235534e-05","0.00246482558344791","0.143173611239842","0.897135387565899","-0.104228260438333","0.00127211858513658","0.000245139137733804"
"ENSGACT00000010415","0.000142536944099127","0.00250789372667814","0.0447977155674794","0.238616708978075","0.0485331482723704","-0.000264686711718045","-0.000788427328669566"
"ENSGACT00000023272","3.04033020210212e-05","0.00255131378463131","0.013037863451459","0.339997214313818","-0.188899387283524","-0.0042413621510724","-0.00506062675117944"
"ENSGACT00000006388","5.29868235365517e-05","0.00256268874094169","0.0728233310271813","0.979905870016031","0.160471154362646","-0.00272321657400251","-7.84124502620081e-05"
"ENSGACT00000027311","9.72598868513404e-05","0.00256463615651856","6.80547769513101e-06","0.2264779182762","0.0743833124006385","-0.00168096089936084","-0.00126118677019073"
"ENSGACT00000014409","8.91570398401212e-05","0.0026542176938726","0.728969361267248","0.496710232882614","0.0767178570894181","0.000216911699659832","-0.00081361248773227"
"ENSGACT00000014131","4.56892424523918e-05","0.00267404541539228","0.374627769571464","0.534242999358831","-0.190428153574491","0.000455734470420817","0.00186227680192033"
"ENSGACT00000013346","0.000120836119950405","0.00267876103862008","1.81977780160274e-06","0.495255432414008","0.0427818134380694","-0.00138988333317802","-0.000467578796120145"
"ENSGACT00000003249","6.61628801046607e-05","0.00274680484150247","0.013787431869246","0.475552660152456","0.109928193464215","0.00267314168236101","-0.00118481250141223"
"ENSGACT00000021229","0.000138978490777239","0.00276444262312551","0.36025021090074","0.18745090621293","0.0483393516663465","0.000723957000011725","-0.000840820274890238"
"ENSGACT00000009232","3.38903539440742e-05","0.00280838960519976","0.40042904642799","0.506944157111988","-0.173220497132421","-0.000517853375322838","-0.00287018542521337"
"ENSGACT00000025712","7.98704503107311e-05","0.00283846398023392","0.00043848818621587","0.340958953912948","-0.12552682772536","0.00234919556304703","0.0017163497663787"
"ENSGACT00000005370","0.000135887292236856","0.00284084718677043","0.219025323624967","0.619661239947058","0.0424486601041938","0.000348814548830688","0.000485550401579325"
"ENSGACT00000020408","0.000120202062132346","0.00293449713980282","0.00106626131235352","0.912458904029256","0.0358672861878205","-0.00124354499930673","8.09618424022487e-05"
"ENSGACT00000001172","8.80802489762497e-05","0.00293775015517264","1.93281705358698e-09","0.586854584610461","0.0585395922362931","-0.00269673608861604","-0.000542510006313915"
"ENSGACT00000012983","0.000104480375680494","0.00299150147954546","0.529779109019187","0.798876522014057","0.0456499085924302","-0.000148841645614011","-0.000208203856567302"
"ENSGACT00000017975","5.29651480425065e-05","0.00299899240686745","0.0597977361481457","0.0313637810067137","-0.0293506230999515","0.00475107944709991","-0.00523786318431708"
"ENSGACT00000026654","7.87014580073045e-05","0.00301716415245196","0.541018005823084","0.996397538543116","0.0594640410096201","0.000353205074144565","-5.17996189518635e-06"
"ENSGACT00000016368","9.68321666440802e-05","0.00304253280724443","0.00507363824998057","0.320755738397963","0.107318312235577","-0.00139440789271715","-0.0015858730267668"
"ENSGACT00000022471","2.36878560241306e-05","0.00305036248522783","0.900516247547329","0.849699227923843","-0.297916906004137","0.000118294272198141","-0.00118206058932885"
"ENSGACT00000015237","7.12352445554274e-05","0.00311037491923614","0.302971178551542","0.165399067483149","0.132634829780768","0.000381084159858928","-0.00244875113564377"
"ENSGACT00000020974","6.80468818709564e-05","0.00311341260201703","0.932989843225172","0.146082306330372","0.120798450883556","0.00125678964100754","-0.00227368149046422"
"ENSGACT00000014173","4.7158787996854e-05","0.0031455421834531","0.166434638222852","0.493957337509592","0.256795135643694","-0.0012691652684126","-0.0028471569949908"
"ENSGACT00000010002","2.78560597315854e-05","0.00323483475083362","0.0606046826302001","0.138521702509851","0.423083106702374","0.00924601614337436","-0.00771172830370442"
"ENSGACT00000002111","6.4902616487196e-05","0.00324801577846004","0.887540950471558","0.382989091909621","0.16657986359417","-0.00267505493889345","0.00410704676948001"
"ENSGACT00000025246","5.61328244306552e-05","0.00329816313209171","0.0215204046132003","0.175057578219809","-0.0626399314875385","0.00431906071610426","-0.00326747834889302"
"ENSGACT00000006983","2.46608354804785e-05","0.00337651605537307","0.446231587258736","0.308062095617889","-0.388863609480312","-0.000395787928967995","0.00566605228152828"
"ENSGACT00000008289","3.53099132535728e-05","0.00340726610791352","0.147140541406556","0.537562398343896","-0.180710763328472","0.00455291935963078","-0.00281104539694954"
"ENSGACT00000020115","6.94133952442753e-05","0.00353222386455089","0.084327330267652","0.518565047677562","0.0548402412940553","-0.00169779245694055","0.000913893854386451"
"ENSGACT00000003773","5.76185223798818e-05","0.00363882077047607","4.04755779767422e-06","0.707913592116723","0.141064918981799","0.00591382091167263","-0.000880696037266377"
"ENSGACT00000011226","2.74697681827883e-05","0.00384046932611051","0.566294147156559","0.20255107644205","-0.398326547496522","-0.00153266323443049","0.00688810229748398"
"ENSGACT00000004887","2.71920501434548e-05","0.00386527983370327","0.124650423811877","0.846223780230215","-0.27702086040611","0.00347731611122129","0.000990038285731124"
"ENSGACT00000016166","0.0001177633612915","0.00397568387924872","0.21055956934969","0.33911121479459","-0.0916641163753685","-0.00150178768785035","0.00131158251741715"
"ENSGACT00000009568","8.95204207330587e-05","0.00404497367544147","0.740895163385878","0.994820380916131","0.0428232779133572","0.000138841315744123","5.56654720672825e-06"
"ENSGACT00000016667","6.25687657327224e-05","0.00405087107569069","0.662734407110832","0.431365848265641","-0.113512407006646","0.00184612569955752","-0.00249207920006956"
"ENSGACT00000011710","4.37149758544684e-05","0.00416790776548943","0.100505383086654","0.820912252382472","0.208177827707596","-0.00273561818938119","-0.000902388688879288"
"ENSGACT00000010320","6.51734088007184e-05","0.00423561362085262","0.686987799766628","0.767767203168223","-0.0830823589893785","0.000643491712580015","-0.00055233743005416"
"ENSGACT00000007152","0.000118428576451555","0.00426604947299258","0.0134498544442665","0.351593950323248","0.0728222232131608","0.00185841036961952","-0.0010058036879526"
"ENSGACT00000011900","2.25800634809644e-05","0.00427644870513492","0.141368838216638","0.479941393869531","-0.215526631992067","0.00610036296634714","-0.00416262812465845"
