"gene","meanreadprop","Treat_P","DPI_P","Treat_DPI_P","Treat_C","DPI_C","Treat_DPI_C"
"ENSGACT00000014435","3.81179395310459e-05","0.00396785066089868","0.135750543822257","0.0682830873631822","-0.342813041881774","-0.000435958459118131","0.00712246545135835"
"ENSGACT00000011793","2.44499599136945e-05","0.00414653555860727","0.0117246119425798","0.457551379153578","-0.212344965884627","0.00894675771023757","-0.00419764722859212"
"ENSGACT00000027051","2.43785463618268e-05","0.0042424761331072","0.994851884209044","0.88016055966242","-0.306889234401739","-0.000406448246939594","0.000872881782681082"
"ENSGACT00000019308","6.0566536286618e-05","0.00426109434116345","0.135777360071529","0.799178595599396","-0.096351394966532","-0.00155844709678459","0.000455684482261445"
"ENSGACT00000022329","3.43344574165803e-05","0.00443151377259829","0.200160625914508","0.700977403885769","-0.176471775421073","0.00329045879392212","-0.00154388152237552"
"ENSGACT00000023343","3.32035238088054e-05","0.00443576993340205","0.684711877170835","0.630742611679919","0.178441425593645","-0.00206311911972921","0.00208555813814286"
"ENSGACT00000000024","6.79085977332576e-05","0.00459098366209669","0.0485642577232502","0.432093203922593","-0.051418735626259","-0.000891085179213701","-0.0011787856933096"
"ENSGACT00000019210","0.000104642725775756","0.00460937839668135","0.483335093224087","0.506219490722489","-0.0343640025809452","-1.42348106881611e-05","-0.000614328772356088"
"ENSGACT00000002003","0.000108512022824284","0.00468320137033591","0.509180005816061","0.844876014804656","-0.0641376914729684","0.000588173504989312","-0.000269038227918409"
"ENSGACT00000003820","4.62226020868036e-05","0.00476322092326653","0.856421134663117","0.0275371969090587","0.0176234810076039","-0.00250131188998728","0.0042726153652041"
"ENSGACT00000022206","2.62868031698642e-05","0.00495533165471096","0.424721592721749","0.343511850840494","0.244748487721906","-0.00743050125878512","0.00726263225619755"
"ENSGACT00000006189","3.99507707121271e-05","0.00523128389486326","0.0613651536939065","0.937039402270323","0.172691166252859","0.00336868140321235","-0.000272342457437287"
"ENSGACT00000008596","5.35813680777807e-05","0.00531336741147132","0.984456678182977","0.740125905436089","-0.100598411173749","-0.000316326960395223","0.000604205985467047"
"ENSGACT00000022907","2.34128221484829e-05","0.00552622620217116","0.28700140264292","0.318885481027868","0.223692761031061","-0.00819215769180801","0.00726614092469742"
"ENSGACT00000006770","4.44660190513985e-05","0.00563207464190275","0.132237832242946","0.246313520663089","-0.0855529582686387","0.00401538970855497","-0.00357309459842601"
"ENSGACT00000026090","2.94322323334431e-05","0.00563970515994657","0.428127637021899","0.864910748040516","-0.249615855160619","0.00150366508565271","0.000804811683481202"
"ENSGACT00000019297","2.78738452895479e-05","0.00570757343904809","0.870001257162809","0.744178282193096","-0.213638041459195","0.000335193879626602","-0.00164494566246027"
"ENSGACT00000008521","2.87662205665101e-05","0.00583409935305822","0.790497698709131","0.568621158467395","-0.367893748680665","-0.00242076297016312","0.00358101000081363"
"ENSGACT00000022287","4.81952778036778e-05","0.00585486988047076","0.413632527250137","0.00448064976128687","0.00926201077151115","0.00226872481298471","-0.0067428926885264"
"ENSGACT00000007681","3.01941630014212e-05","0.00598709464445128","0.0280362267770643","0.631809790814613","-0.30956258173124","0.00452836693769779","0.0024575982152628"
"ENSGACT00000014825","5.79102388103212e-05","0.0060310511329988","0.268685777700314","0.322977800810535","0.123839099991112","0.0020151310427172","-0.00184026472436455"
"ENSGACT00000013635","2.9701418625882e-05","0.00612176993456852","0.407218092715193","0.828099868199802","-0.216652193665778","-0.00156076692843163","-0.0010847710420347"
"ENSGACT00000024196","2.75851597901629e-05","0.0061552868630099","0.236546104535736","0.184952435665934","-0.333014401972394","-0.000114167710366811","0.00587402288587539"
"ENSGACT00000020842","2.85335180620029e-05","0.00618252939206937","0.212462887817676","0.394189047669501","-0.381318789862594","0.00138192652372109","0.00489738213699987"
"ENSGACT00000010142","4.0087236759964e-05","0.00626233987162187","0.398167799562249","0.0426008460332563","0.0346881298473772","-0.00465187138794288","0.00607872635361851"
"ENSGACT00000015468","7.2046972993519e-05","0.00630972497867586","0.0336289485586369","0.851473640719299","-0.0787209086733318","0.00143637051430538","0.000276892203505836"
"ENSGACT00000001415","2.54560373009435e-05","0.00643112413660976","0.171654361793911","0.127422152009678","-0.447417968234187","-4.35883616616717e-05","0.00855638402135782"
"ENSGACT00000020991","4.13945694331033e-05","0.00656065268757483","0.202174522563213","0.557167139674876","0.114625891516629","-0.00292487369922986","0.00179343632492438"
"ENSGACT00000023103","7.44419844045325e-05","0.00663209356495665","0.559201869867255","0.63249859400344","0.0478715313829456","4.66108546208521e-05","0.000593016023769246"
"ENSGACT00000009899","7.63992752368986e-05","0.00671952592838483","0.296280857685687","0.704724096323413","-0.179055848422059","0.0010949551090702","0.00121409125120253"
"ENSGACT00000018893","4.80356098827979e-05","0.00675448701157618","0.514407325837247","0.835449680574432","-0.183831987887939","-0.000969361422384765","-0.000883564796057616"
"ENSGACT00000006837","2.79109433357803e-05","0.00686217214295958","0.0198870625620653","0.272217474933457","0.344006549375083","0.00884472374490439","-0.00544065852464041"
"ENSGACT00000026196","4.23263762504903e-05","0.00700679683263346","0.579338628646578","0.455097913101137","0.116573520586115","-0.00238547587445009","0.00257254543311557"
"ENSGACT00000000197","0.000186760809593805","0.00701427582817248","0.119247995056846","0.370743287120757","-0.0219897290080906","0.00085316591936934","-0.000619300580289324"
"ENSGACT00000015230","5.38269415601823e-05","0.00708201058477085","0.928085024015224","0.151915512943244","-0.120988125309861","-0.00109405391559544","0.00234020254474671"
"ENSGACT00000008115","2.80105725964063e-05","0.00717890592564253","0.635686090770318","0.088759975102781","-0.0862329226553199","0.00281400056317372","-0.00924316854731572"
"ENSGACT00000021976","3.52763776358574e-05","0.00728153372129502","0.805426240606516","0.788916564050204","0.266300079735855","0.00141064869667288","-0.00137032682801961"
"ENSGACT00000020598","4.31132090471099e-05","0.00756508931925551","0.191512760775471","0.733508916895627","-0.170091870078983","0.00331502561869342","-0.00139006254881934"
"ENSGACT00000026861","7.39902301725993e-05","0.00771844147726","0.000749543740604779","0.319430140402871","-0.0291536731900294","-0.00128698940938735","-0.00108582268812947"
"ENSGACT00000001768","3.6392425209846e-05","0.00777637557897658","0.776463649118428","0.625646655807257","-0.262025911854683","-0.00173631734705918","0.0023039777397015"
"ENSGACT00000027025","3.37344897468974e-05","0.00781619762343648","0.775909260267619","0.261611500744623","0.139407205934438","-0.00281858510948854","0.00612883361153797"
"ENSGACT00000021891","2.59751148518992e-05","0.00783020373239034","0.878273532121026","0.0278949773718369","0.566018428395848","0.00859470670999588","-0.0140899157959708"
"ENSGACT00000021455","4.12427123247025e-05","0.00814120000860522","0.129879281051823","0.594488859906551","0.180245856894727","-0.00146266272163066","-0.00170402362216788"
"ENSGACT00000022474","0.000103589144341161","0.00837945583082703","0.422123208113618","0.737738444344775","0.0371324983952107","0.00040979082023219","-0.000238036442238678"
"ENSGACT00000024181","2.84445690312675e-05","0.00858111728419648","0.0572886594150113","0.369582364201296","-0.360978442920541","0.00296146525937823","0.00487933804031151"
"ENSGACT00000010372","2.91685486039539e-05","0.00904596946264891","0.0641954591448966","0.0264704815239376","-0.423662744409684","-0.000518968196647676","0.0102073396368843"
"ENSGACT00000016166","0.00011808762395237","0.00906619187062056","0.00390612547694002","0.445211909221704","-0.0429500548464729","-0.00150181924243323","-0.00108466726602988"
"ENSGACT00000004411","2.40902763567901e-05","0.00910912288542036","0.493497562196331","0.776149703473583","0.244952686465971","-0.00304412071621866","0.00172174530815214"
"ENSGACT00000009009","2.98383186953842e-05","0.00928205457085193","0.567028528243552","0.913719882448193","0.283866483692953","-0.00130697415269143","-0.000648283936777401"
"ENSGACT00000014868","6.12296020227059e-05","0.00931731464197139","0.0221466041626765","0.610998666021883","-0.0960265824347915","0.00354183630863869","-0.00129268514919873"
"ENSGACT00000019460","7.50249364465645e-05","0.00937135305303222","0.000623916766180908","0.99409906641517","-0.056150960835432","-0.00220565225651211","9.54918935798688e-06"
"ENSGACT00000001883","3.98167651398865e-05","0.00946087907070113","0.0340666381372343","0.109308573527501","-0.282887004980629","0.00106329707481842","0.00571471397885958"
"ENSGACT00000023038","0.000101184994890218","0.00950176045178457","0.0825124733552415","0.707385154953443","-0.038383482002377","-0.000690843901622098","-0.000382650203236806"
"ENSGACT00000009924","7.16008086309226e-05","0.00977359679309728","0.303188296081607","0.477958371714638","-0.0444869847595797","0.00117393429050807","-0.00095801347895867"
"ENSGACT00000011910","2.55613407590249e-05","0.00978985007827167","0.186567206898966","0.239376372638089","0.174283782424631","-0.00956421770505351","0.0083305693464152"
"ENSGACT00000014353","0.00011332088572205","0.00989869175735402","0.273089264282134","0.360696428280733","-0.0260987635506205","0.000905428504489033","-0.000819755132675396"
"ENSGACT00000005667","2.33373478677562e-05","0.010167987205798","0.0636546125767938","0.116164801975239","-0.10138132446067","-0.00137061995202813","-0.00970109947421849"
"ENSGACT00000021396","4.05500854366501e-05","0.0102352985012261","0.0270765430469936","0.404886508454348","-0.0856080276716813","-0.00208375234004771","-0.00248739704308443"
"ENSGACT00000003208","2.41266492637965e-05","0.0102444473264598","0.304888160808804","0.757821951919994","0.24383133732279","0.0020484321654583","0.00193623300150399"
"ENSGACT00000001126","4.75368752420007e-05","0.0103696216531603","0.322149056728909","0.418992386166183","-0.223582283876373","0.0061796403564147","-0.00597937583023173"
"ENSGACT00000000361","8.11258078178949e-05","0.0103845914752017","0.271653682530145","0.947771732917705","-0.0421069080135099","0.000462068776184621","5.85613791467142e-05"
"ENSGACT00000023486","4.48027134298387e-05","0.0104651928004194","0.260232820528295","0.710690881886737","0.109260787439522","0.00161312360150495","-0.00078531721227541"
"ENSGACT00000001389","5.03388712837068e-05","0.0105577528087223","0.243247762027684","0.324442973852186","-0.180976886871551","0.00029418278126936","0.00275225083097632"
"ENSGACT00000026669","3.07494587684397e-05","0.0111508365144075","0.47081692881181","0.729535747172919","0.218136648234608","0.000900759882371047","0.00199819919955366"
"ENSGACT00000004042","2.46357429458645e-05","0.0112963972206787","0.30491005635389","0.0634548138403713","0.461619381789497","0.00327050285270529","-0.0110617754854666"
"ENSGACT00000005049","3.02345220883967e-05","0.0113514869961695","0.490718488664086","0.980399305263644","-0.217628910084923","-0.00166354907646966","-0.000123369129848313"
"ENSGACT00000006028","3.59742232993982e-05","0.0114567851446275","0.00917957795782387","0.833829160346826","-0.153665914497544","0.00506870863053659","-0.000756035975200108"
"ENSGACT00000006474","2.87935565541412e-05","0.0114665841723038","0.381805840953323","0.950629067273931","0.290139442826347","-0.00251916657787109","-0.000397278092525412"
"ENSGACT00000024987","2.422115867294e-05","0.0114848156320997","0.266401088513327","0.137342895133849","-0.38414999543803","-0.0068819758364046","0.00821131784071514"
"ENSGACT00000005708","3.78915045657388e-05","0.0115628120743838","0.481434751553501","0.391925552785637","0.0953646255580676","-0.000428353816645338","0.00291508860615954"
"ENSGACT00000006774","4.22040616554572e-05","0.0115726471053782","0.826022299383026","0.797448038878632","-0.345170430579371","-9.20834137627601e-06","-0.0022629678434737"
"ENSGACT00000021076","3.06578845458721e-05","0.0115949540329612","0.168024667200471","0.157385921009462","0.348865839427222","0.000581581603680168","-0.00712376757322261"
"ENSGACT00000015999","2.55219435509624e-05","0.0116264819346135","0.318542026500587","0.711235700474442","0.240709884279925","-0.00453439940295609","0.00237781066769963"
"ENSGACT00000027615","2.47899009771132e-05","0.011630434387784","0.0869865320320846","0.898956992293753","0.23175874703836","0.00434850552206631","0.00071074456870994"
"ENSGACT00000027490","4.95636109800707e-05","0.0117870783919207","0.0188387701910517","0.390771519641122","-0.0717943554874787","0.00387057374636853","-0.0020830302425074"
"ENSGACT00000017975","5.23492502401512e-05","0.0118088001492692","0.0440837114931995","0.42911043942883","-0.105068781834967","0.00475104967946626","-0.0027149635685566"
"ENSGACT00000021638","3.14516792679715e-05","0.0118678046285601","0.728459755906688","0.535150729781239","0.266051230503799","0.00249325555252754","-0.002958126866018"
"ENSGACT00000018671","8.85933807787475e-05","0.0123236183658182","0.706691728566352","0.855878401814128","-0.0381472767475828","-0.000226511163156706","0.000146819181224276"
"ENSGACT00000013226","8.31167794826336e-05","0.0126212855560274","0.294150514930701","0.492587663226439","-0.135096829042512","-0.00209457820670741","0.00166959045999681"
"ENSGACT00000023916","2.29657233507777e-05","0.0128501541216246","0.894428891925405","0.540110635986987","0.201414291446696","-0.00184853742104895","0.00384616166605012"
"ENSGACT00000002169","3.64551963311692e-05","0.0129244392737852","0.834629029972098","0.609111867059756","-0.129230896346931","0.00129919252907815","-0.00192053520784659"
"ENSGACT00000009135","3.89513626531765e-05","0.0129466799763571","0.771275957180778","0.270271362426706","-0.26108514842275","-0.00153140341298383","0.00444843672960965"
"ENSGACT00000025095","4.78212367995488e-05","0.0129946771659709","0.141494457132327","0.478262354780959","-0.112506644095138","0.00384903663660333","-0.00254690279161101"
"ENSGACT00000014167","4.30720472559417e-05","0.0135431775377897","0.296415118173953","0.84150296898353","0.183537652648668","0.0024690773467463","-0.000781906190738146"
"ENSGACT00000010900","2.62032989354207e-05","0.0136446731336761","0.721061997320937","0.346944629914275","0.37924870146535","0.00446390131358213","-0.00584066430986258"
"ENSGACT00000005304","3.12376626646214e-05","0.013786158581183","0.0392636407087169","0.667488862331569","-0.253359421472277","0.00391607208943091","0.00201676974384602"
"ENSGACT00000015694","2.89678569308532e-05","0.0138790315091019","0.69124734549472","0.655728560527309","0.243256171781879","0.0021189702424832","-0.00210521755261279"
"ENSGACT00000000918","2.29535288137274e-05","0.0139722349992654","0.04703578278785","0.693857232198479","0.276847913584033","0.00662480913922729","-0.0021487640573536"
"ENSGACT00000026038","2.30106252388401e-05","0.014054174664504","0.184183740280716","0.848183465867958","-0.270856262616456","-0.00448512618619672","0.0011539698218564"
"ENSGACT00000008216","5.05478599306424e-05","0.0140681552183822","0.193928001204966","0.170596152485786","-0.0479885237959012","3.91045939268167e-05","-0.0037537812580274"
"ENSGACT00000010002","2.71418860428436e-05","0.014094113693118","2.80311934781634e-05","0.607593480637263","0.156937782525283","0.00924598752523029","0.00264170971353713"
"ENSGACT00000017341","4.28042569116066e-05","0.0141615227215111","0.317194718996553","0.275482447643363","0.0854440457939134","-0.00398101359742861","0.0039288744102821"
"ENSGACT00000004847","2.35438306507409e-05","0.0142768509464778","0.952057386696718","0.510738757217835","-0.202802432725685","0.00171349918395612","-0.00433376771457643"
"ENSGACT00000002457","9.37969186812803e-05","0.0143463999733375","0.44762052853183","0.613868983221605","-0.0571549119636902","0.00013495441761672","0.000543558826700438"
"ENSGACT00000016042","2.94994269522061e-05","0.0145036703687846","0.776648229128662","0.367200912898015","0.137052002803061","-0.00342718385339946","0.00468536965282603"
"ENSGACT00000010179","5.07386773078886e-05","0.0147112743856506","0.0369815935665196","0.709085915419256","-0.135527869081217","0.00225721315830652","0.00097424283035598"
"ENSGACT00000022263","3.74465034185826e-05","0.014937970821998","0.732244750101142","0.763215559454674","-0.182000048242396","0.000102217148615094","0.00112330616426629"
"ENSGACT00000003264","2.40540323340116e-05","0.0149392965933541","0.635174509820826","0.36613148070277","0.144900500240073","-0.00165012203424477","0.00513536888228378"
"ENSGACT00000005727","2.94605661121618e-05","0.0149523462810086","0.0959291350274181","0.339375840287641","-0.271749618174759","-0.00601917213385403","0.00449792142776852"
"ENSGACT00000014800","2.52136900238969e-05","0.0151080191270372","0.0478200910087965","0.109962739153202","-0.0741304258887726","0.0102597475070959","-0.00969407765696084"
"ENSGACT00000009488","9.9079055178116e-05","0.0154341246562772","0.0173269567767892","0.714910941934012","-0.028312047672132","-0.000813575100145902","0.000216178647832354"
"ENSGACT00000018094","3.5591376727615e-05","0.0154445064995004","0.0157993417547244","0.337825177925355","-0.2120611260014","0.00249695915892274","0.00318890983758246"
"ENSGACT00000025200","2.31233748037152e-05","0.0154495590743678","0.518058072371288","0.346236661822752","-0.3418108860486","-0.00439195493563701","0.00546963160456967"
"ENSGACT00000015509","7.61963408051724e-05","0.0156174777629102","0.0738102487324186","0.629164064262086","-0.114383533188114","0.00141433589440344","0.00103802869651807"
